Name,Username,Category,Followers,Avg. Likes,Avg.Comment,Eng. Rate,Growth Rate,Profile
Kiky Saputri,@kikysaputrii,Beauty,3.6M,75.7K,311,2.12%,1.25%,https://www.instagram.com/kikysaputrii/
Gibran Rakabuming,@gibran_rakabuming,Beauty,6.7M,36.3K,1.2K,0.55%,0.43%,https://www.instagram.com/gibran_rakabuming/
ᑭutri ᗪelina✨,@putridelinaa,Beauty,3.4M,67.7K,118,1.99%,-0.06%,https://www.instagram.com/putridelinaa/
Heidy,@sophiaaljufri,Beauty,1M,182K,385,18.20%,4.05%,https://www.instagram.com/sophiaaljufri/
Dilla Jaidi,@dillaljaidi,Beauty,2.1M,78.7K,258,3.67%,0.93%,https://www.instagram.com/dillaljaidi/
Jan Ployshompoo,@janhae,Beauty,2.1M,81.2K,130,3.96%,-0.15%,https://www.instagram.com/janhae/
𝓛𝓪𝓾𝓻𝓪,@its_lauramoane2,Beauty,2.1M,76.9K,273,3.61%,0.31%,https://www.instagram.com/its_lauramoane2/
Erina S Gudono,@erinagudono,Beauty,1.5M,101.8K,123,6.74%,-0.47%,https://www.instagram.com/erinagudono/
Nita Gunawan,@nitagunawan09,Beauty,2.8M,53.7K,206,1.89%,0.11%,https://www.instagram.com/nitagunawan09/
MEOVV,@meovv,Beauty,1.6M,94.2K,401,5.82%,3.49%,https://www.instagram.com/meovv/
Dasha gartman,@bulebarbie_official,Beauty,4.6M,30.9K,722,0.67%,9.05%,https://www.instagram.com/bulebarbie_official/
AGHNIA 🌙,@emyaghnia,Beauty,2.5M,56.2K,71,2.21%,-0.21%,https://www.instagram.com/emyaghnia/
SHANDI,@shandypurnamasari,Beauty,3M,47.7K,1K,1.61%,0.67%,https://www.instagram.com/shandypurnamasari/
Miss Universe,@missuniverse,Beauty,6.6M,21.6K,334,0.33%,-0.01%,https://www.instagram.com/missuniverse/
SUPER MEGA BINTANG,@ivan_gunawan,Beauty,31.2M,4.5K,125,0.01%,0.02%,https://www.instagram.com/ivan_gunawan/
saskiachadwick_,@saskiachadwick_,Beauty,4.4M,27.7K,76,0.63%,-0.21%,https://www.instagram.com/saskiachadwick_/
caitlin halderman,@caitlinhalderman,Beauty,2.8M,38.9K,210,1.39%,0.10%,https://www.instagram.com/caitlinhalderman/
